Codigo Municipio,Nombre Municipio,Codigo Departamento,Codigo pais
13673,SANTA CATALINA,13,CO
13683,SANTA ROSA DE LIMA,13,CO
13688,SANTA ROSA DEL SUR,13,CO
13744,SIMITÍ,13,CO
13760,SOPLAVIENTO,13,CO
13780,TALAIGUA NUEVO,13,CO
13810,TIQUISIO,13,CO
13836,TURBACO,13,CO
13838,TURBANÁ,13,CO
13873,VILLANUEVA,13,CO
13894,ZAMBRANO,13,CO
15001,TUNJA,15,CO
15022,ALMEIDA,15,CO
15047,AQUITANIA,15,CO
15051,ARCABUCO,15,CO
15087,BELÉN,15,CO
15090,BERBEO,15,CO
15092,BETÉITIVA,15,CO
15097,BOAVITA,15,CO
15104,BOYACÁ,15,CO
15106,BRICEÑO,15,CO
15109,BUENAVISTA,15,CO
15114,BUSBANZÁ,15,CO
15131,CALDAS,15,CO
15135,CAMPOHERMOSO,15,CO
15162,CERINZA,15,CO
15172,CHINAVITA,15,CO
15176,CHIQUINQUIRÁ,15,CO
15180,CHISCAS,15,CO
15183,CHITA,15,CO
15185,CHITARAQUE,15,CO
15187,CHIVATÁ,15,CO
15189,CIÉNEGA,15,CO
15204,CÓMBITA,15,CO
15212,COPER,15,CO
15215,CORRALES,15,CO
15218,COVARACHÍA,15,CO
15223,CUBARÁ,15,CO
15224,CUCAITA,15,CO
15226,CUÍTIVA,15,CO
15232,CHÍQUIZA,15,CO
15236,CHIVOR,15,CO
15238,DUITAMA,15,CO
15244,EL COCUY,15,CO
15248,EL ESPINO,15,CO
15272,FIRAVITOBA,15,CO
15276,FLORESTA,15,CO
15293,GACHANTIVÁ,15,CO
15296,GÁMEZA,15,CO
15299,GARAGOA,15,CO
15317,GUACAMAYAS,15,CO
15322,GUATEQUE,15,CO
15325,GUAYATÁ,15,CO
15332,GÜICÁN DE LA SIERRA,15,CO
15362,IZA,15,CO
15367,JENESANO,15,CO
15368,JERICÓ,15,CO
15377,LABRANZAGRANDE,15,CO
